,Drug Name,RXCUI,Therapeutic Class
0,abatacept,614391,Selective immunosuppressants
1,abatacept,614391,"ANTIRHEUMATICS,OTHER"
16,abatacept,614391,Immunomodulator-containing product
17,abatacept,614391,Fusion protein-containing product
18,abatacept,614391,Abatacept
19,abatacept,614391,"Arthritis, Juvenile"
20,abatacept,614391,"Arthritis, Rheumatoid"
21,abatacept,614391,Recombinant Fusion Proteins
23,abatacept,614391,"Arthritis, Psoriatic"
25,abatacept,614391,Decreased Cytokine Activity
27,abatacept,614391,CD80-directed Antibody Interactions
28,abatacept,614391,CD86-directed Antibody Interactions
29,abatacept,614391,Selective T Cell Costimulation Modulator
31,abatacept,614391,T Lymphocyte Costimulation Activity Blockade
36,abrocitinib,2591476,Janus kinase inhibitor-containing product
37,abrocitinib,2591476,Sulfonamide-containing product
38,abrocitinib,2591476,"Dermatitis, Atopic"
39,abrocitinib,2591476,Pyrimidines
40,abrocitinib,2591476,Sulfonamides
41,abrocitinib,2591476,"Agents for dermatitis, excluding corticosteroids"
42,abrocitinib,2591476,P-Glycoprotein Inhibitors
44,abrocitinib,2591476,Janus Kinase Inhibitors
46,abrocitinib,2591476,Janus Kinase Inhibitor
49,abrocitinib,2591476,"DERMATOLOGICALS,SYSTEMIC,OTHER"
60,adalimumab,327361,Tumor necrosis factor alpha (TNF-alpha) inhibitors
62,adalimumab,327361,"ANTIRHEUMATICS,OTHER"
115,adalimumab,327361,Adalimumab
116,adalimumab,327361,"Antibodies, Monoclonal"
118,adalimumab,327361,"Arthritis, Juvenile"
119,adalimumab,327361,"Arthritis, Rheumatoid"
120,adalimumab,327361,"Colitis, Ulcerative"
121,adalimumab,327361,Crohn Disease
122,adalimumab,327361,Drug Hypersensitivity
123,adalimumab,327361,"Spondylitis, Ankylosing"
124,adalimumab,327361,Uveitis
125,adalimumab,327361,"Arthritis, Psoriatic"
126,adalimumab,327361,Hidradenitis Suppurativa
127,adalimumab,327361,Biological Response Modifiers
128,adalimumab,327361,Immunologic Activity Alteration
129,adalimumab,327361,Tumor Necrosis Factor alpha Receptor Blocking Activity
130,adalimumab,327361,Tumor Necrosis Factor Receptor Blocking Activity
132,adalimumab,327361,Tumor Necrosis Factor Blocker
488,adalimumab,327361,Monoclonal antibody-containing product
489,adalimumab,327361,Tumor necrosis factor alpha inhibitor-containing product
516,alemtuzumab,117055,Immunomodulator-containing product
517,alemtuzumab,117055,Monoclonal antibody antineoplastic agent
519,alemtuzumab,117055,Alemtuzumab
520,alemtuzumab,117055,Drug Hypersensitivity
